2026-08-31 12:14:40,076 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,827 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,827 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,829 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,829 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,830 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,830 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 13:05:22,832 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 15:07:28,467 | WARNING | mul_tree_mmkg.src.summarizer.bottom_up_summarizer | 章节《Empty》没有可摘要内容，已写入提示文本。
2026-08-31 15:07:28,592 | WARNING | mul_tree_mmkg.src.summarizer.bottom_up_summarizer | 章节《Section》首次模型响应缺少有效摘要或未返回 3 个合法 ConceptCategories，正在自动重试。
